historical_date,historical_return,scenario_spot,scenario_forward,scenario_volatility,scenario_option_price,scenario_pnl
2025-01-03,0.012503420908593466,768.0243448960044,769.7298469646644,0.14855727525370052,11.297826888258093,-3.1242469088416804
2025-01-06,0.005760621674127719,762.9096619646928,764.6038061872404,0.14357134803159208,12.870645310114691,-1.551428486985083
2025-01-07,-0.011304084923407731,749.9653994221983,751.6307991567746,0.13161843805421777,18.125677890371435,3.703604093271661
2025-01-08,0.0014610196558109134,759.6482418497188,761.3351436472185,0.1404476017243177,14.008945492272723,-0.4131283048270511
2025-01-10,-0.01526743456207913,746.9590401872805,748.6177638940351,0.12907886349243822,19.658868044852316,5.236794247752542
2025-01-13,0.0015504143051559005,759.7160512670329,761.4031036445269,0.14051197694906248,13.984114409688738,-0.4379593874110359
2025-01-14,0.0013760126593165278,759.5837606425979,761.2705192508447,0.14038641099851704,14.032605146704627,-0.38946865039514655
2025-01-15,0.01818993799275126,772.3377955650215,774.0528762350473,0.15281343565754996,10.14842091784959,-4.273652879250184
2025-01-16,-0.0019231418064037387,757.0812200141705,758.7624213920417,0.1380317850149189,14.9873701909926,0.5652963938928259
2025-01-17,0.010039889121763235,766.1556574944223,767.8570098896373,0.14672591394602735,11.844321734455681,-2.577752062644093
2025-01-21,0.009153586130727032,765.4833612236016,767.1832206939006,0.14606951502274135,12.04864547234056,-2.373428324759214
2025-01-22,0.005621424425835464,762.8040752839732,764.4979850369971,0.1434694193009603,12.90575849382857,-1.5163153032712042
2025-01-23,0.005458083239891831,762.6801744607875,764.373809075254,0.1433498726201407,12.94710608200735,-1.4749677150924239
2025-01-24,-0.002919229192291928,756.3256478884789,758.0051714161206,0.13732937346675433,15.290058900718583,0.8679851036188087
2025-01-27,-0.014145434807638524,747.8101218810139,749.4707355299283,0.12978533201996834,19.21156705501407,4.789493257914295
2025-01-28,0.00859235530640512,765.0576451941205,766.7565593043228,0.14565462281284117,12.180204643990091,-2.2418691531096826
2025-01-29,-0.004482895520412922,755.139544431946,756.8164340562325,0.13623567957097923,15.77925094922671,1.357177152126937
2025-01-30,0.0053671424535983725,762.6111922367525,764.3046736668484,0.14328334374636506,12.970194073417266,-1.4518797236825076
2025-01-31,-0.005321962184318241,754.5030788047072,756.1785550708743,0.1356536251199691,16.04897374299548,1.6268999458957047
2025-02-03,-0.006729586919677066,753.4353391379482,755.108444343585,0.13468530645042562,16.513060887957,2.090987090857226
2025-02-04,0.006708265720929418,763.6284878799538,765.3242283527943,0.14426651729748258,12.634570054386433,-1.7875037427133407
2025-02-05,0.004054637907541014,761.6156050383861,763.3068756322792,0.14232558024078218,13.308858426926427,-1.1132153701733465
2025-02-06,0.003475555261328589,761.1763476879281,762.8666428513875,0.14190451852923375,13.461565631997276,-0.9605081651024978
2025-02-07,-0.009153582266789972,751.5966417073491,753.265663836333,0.13304390063609806,17.34725724564241,2.9251834485426365
2025-02-10,0.006791284518201657,763.6914609584367,765.3873412715261,0.14432751841474975,12.614133340358027,-1.807940456741747
2025-02-11,0.0007605191369759456,759.1168841861617,760.8026060320095,0.139944094647631,14.20529708060657,-0.21677671649320374
2025-02-12,-0.003221489815135925,756.0963711156268,757.7753855031441,0.13711708430059774,15.383273371567098,0.9611995744673241
