as_of,window_start,window_end,annualised_vol,skewness,excess_kurtosis,worst_day,first_percentile
2026-01-02,2025-01-03,2026-01-02,0.19479603039708845,1.5141358353639036,23.636242385498473,-0.05854294764300372,-0.035591346677301114
2026-01-30,2025-02-03,2026-01-30,0.19303986447845523,1.555409571344799,24.644473888709893,-0.05854294764300372,-0.035591346677301114
2026-03-16,2025-03-18,2026-03-16,0.18881979363223522,1.703359885826462,26.960106445321866,-0.05854294764300372,-0.035591346677301114
2026-04-28,2025-04-30,2026-04-28,0.12512429968281596,0.06847233324035232,2.066578441380286,-0.027027832409559527,-0.01746339806188486
2026-06-01,2025-06-03,2026-06-01,0.11876046230055394,-0.24400294522082677,1.5687527269524955,-0.027027832409559527,-0.01746339806188486
