convention,fractional_rank,var,difference_vs_ours
"(N-1)*alpha  [R type 7, NumPy default, OURS]",2.490000000000002,4.121585304549572,0.0
N*alpha,2.500000000000002,4.114682489779833,-0.006902814769738974
"(N+1)*alpha - 1  [R type 6, Weibull]",1.5100000000000025,4.990884462029371,0.8692991574797988
