strike,option_type,moneyness,market_iv,sabr_iv,residual_vol_points,mid
650.0,put,-0.1449893411489369,0.2638277244227676,0.2559830674618355,-0.7844656960932062,1.28
655.0,put,-0.1384123360808518,0.2573295330401501,0.25055704900333153,-0.6772484036818571,1.3849999999999998
660.0,put,-0.13183533101276668,0.2508011575361728,0.2451333968466037,-0.5667760689569118,1.5
665.0,put,-0.12525832594468156,0.2445291251373989,0.23971138431677347,-0.48177408206254435,1.6349999999999998
670.0,put,-0.11868132087659655,0.2382537516752831,0.23429036989986052,-0.39633817754225753,1.7850000000000001
675.0,put,-0.11210431580851143,0.2320560163818623,0.22886982384457683,-0.31861925372854705,1.955
680.0,put,-0.10552731074042632,0.225853235134565,0.22344936260520826,-0.24038725293567542,2.145
685.0,put,-0.0989503056723412,0.2196944666015182,0.21802879351966398,-0.16656730818542242,2.3600000000000003
690.0,put,-0.09237330060425608,0.213713201599496,0.21260817290663905,-0.11050286928569464,2.6100000000000003
695.0,put,-0.08579629553617096,0.2076802143720673,0.20718788183312037,-0.049233253894692686,2.8899999999999997
700.0,put,-0.07921929046808596,0.2016995350805242,0.201768725247593,0.006919016706879999,3.21
701.0,put,-0.07790388945446891,0.2005214349442158,0.20068513814161767,0.016370319740188766,3.2800000000000002
702.0,put,-0.07658848844085187,0.1993098305228738,0.19960166244774266,0.029183192486886833,3.3499999999999996
703.0,put,-0.07527308742723482,0.1982456260500285,0.1985183133486423,0.02726872986138218,3.4299999999999997
704.0,put,-0.07395768641361777,0.1969659124131527,0.19743510730507605,0.046919489192334685,3.5
705.0,put,-0.07264228540000084,0.1958291015116565,0.1963520621272155,0.05229606155590094,3.58
706.0,put,-0.0713268843863838,0.1946555206869358,0.1952691970500829,0.06136763631470754,3.66
707.0,put,-0.07001148337276675,0.1934457883939807,0.1941865328133427,0.0740744419362005,3.74
708.0,put,-0.0686960823591497,0.1923671453164671,0.1931040917457096,0.07369464292425187,3.83
709.0,put,-0.06738068134553277,0.1911663076867803,0.19202189785424376,0.08555901674634492,3.915
710.0,put,-0.06606528033191572,0.1900092582140525,0.19093997691882564,0.09307187047731258,4.005
711.0,put,-0.06474987931829868,0.1888928220670341,0.18985835659211434,0.09655345250802472,4.1
712.0,put,-0.06343447830468163,0.187657393485386,0.1887770665053184,0.11196730199324045,4.1899999999999995
713.0,put,-0.062119077291064695,0.1865384399069678,0.18769613838011473,0.11576984731469231,4.29
714.0,put,-0.06080367627744765,0.1854535211086592,0.1866156061470823,0.11620850384231052,4.395
715.0,put,-0.0594882752638306,0.1842503573270756,0.18553550607102742,0.12851487439518305,4.495
