historical_date,historical_return,scenario_price
2025-06-03,0.005702620168379191,762.8656655025223
2025-06-04,-0.00026841584324532874,758.3363958462646
2025-06-05,-0.004832782373768718,754.8741412582015
2025-06-06,0.010268948655256738,766.3294083129584
2025-06-09,0.0009012918516539958,759.2236659211536
2025-06-10,0.0056696905016009325,762.8406870330844
2025-06-11,-0.002852026265172114,756.3766239968163
2025-06-12,0.003974324863642353,761.5546843820672
2025-06-13,-0.011180124223602483,750.0594285714285
2025-06-16,0.009514237855946295,765.7569299832495
2025-06-17,-0.008545164929979365,752.0581505940135
2025-06-18,-0.0001506200525495105,758.425748665339
2025-06-20,-0.005289234065345649,754.5279043920726
2025-06-23,0.00987749882210398,766.0324779565187
2025-06-24,0.01104723819045228,766.9197720569856
2025-06-25,0.0005603348824945176,758.9650364217673
2025-06-26,0.00782382395572534,764.4746834233758
2025-06-27,0.004968375635347355,762.3087116544364
2025-06-30,0.004781187490852323,762.1667219593111
2025-07-01,-0.00032370316419849665,758.2944582018289
2025-07-02,0.004533311746134583,761.9786982919129
2025-07-03,0.007881376420340036,764.5183392698847
2025-07-07,-0.007451946141299293,752.8874007739788
2025-07-08,-0.0005477862988978455,758.124482180834
2025-07-09,0.0059967114808006095,763.0887455266464
2025-07-10,0.0028202416434319755,760.6792660962088
2025-07-11,-0.0035153878111917614,755.8734377296986
2025-07-14,0.0019082133350436514,759.987456143164
2025-07-15,-0.004273299082921178,755.298531713641
2025-07-16,0.003343298935930994,761.0760259748611
2025-07-17,0.006119637307359538,763.1819896831245
2025-07-18,-0.0007324374243677934,757.98441691612
2025-07-21,0.0018961725995090273,759.9783227636316
2025-07-22,0.00014313660002862605,758.6485748365857
2025-07-23,0.008507457939764151,764.9932471456286
2025-07-24,0.0003311206067388994,758.7911682250357
2025-07-25,0.004224330884902816,761.7443239494341
2025-07-28,-0.000251137968921622,758.3495018050542
2025-07-29,-0.002637611077966673,756.5392664929191
2025-07-30,-0.001259326889777368,757.5847501810282
2025-07-31,-0.0037512215112063263,755.6945484348895
2025-08-01,-0.016390330337931913,746.1072788254651
2025-08-04,0.01519976838448156,770.0696323103646
2025-08-05,-0.005069949458941236,754.6942405374147
2025-08-06,0.00765960157332346,764.3501141774287
2025-08-07,-0.000837573880337561,757.9046667088087
2025-08-08,0.007797548438117863,764.4547523922499
2025-08-11,-0.0019774631972127032,757.0400150663862
2025-08-12,0.010645993206692905,766.6154116870048
2025-08-13,0.0034231122314023477,761.1365675520079
2025-08-14,9.303912295122174e-05,758.6105738963233
2025-08-15,-0.0023412667648654573,756.7640555081789
2025-08-18,-0.00021758050478692947,758.3749564838989
2025-08-19,-0.005425151562257091,754.4248055339655
2025-08-20,-0.0026570388083961838,756.5245297822792
2025-08-21,-0.004011847487110476,755.4968532071272
2025-08-22,0.015356777594209836,770.1887300763119
2025-08-25,-0.004400985572825311,755.2016764035891
2025-08-26,0.004186965928370201,761.7159811353059
2025-08-27,0.0022785045570090645,760.2683368466736
2025-08-28,0.0035414379165827903,761.2263223172447
2025-08-29,-0.005963755162423756,754.0162531590951
2025-09-02,-0.007410278273002002,752.919007518797
2025-09-03,0.005419588611054849,762.6509747450295
2025-09-04,0.008357411377264201,764.8794308261099
2025-09-05,-0.002896228740448592,756.3430946512201
2025-09-08,0.0024565848835054194,760.4034178975342
2025-09-09,0.0023118536442519044,760.2936334633108
2025-09-10,0.002890840035059128,760.7328178001937
2025-09-11,0.008310206835221656,764.843624292789
