historical_date,historical_return,scenario_spot,scenario_forward,scenario_volatility,scenario_option_price,scenario_pnl,delta_only_pnl,delta_gamma_pnl,delta_gamma_error
2023-01-03,-0.004235958581738308,473.296606526514,476.863449974321,0.1149341015531434,7.388517449258991,0.7494305781209931,0.7063440005430528,0.7501545018094864,0.0007239236884932776
2023-01-04,0.007588887138280542,478.91707394569613,482.5262741886106,0.1224609244740824,5.508590744490515,-1.1304961266474827,-1.2654431806845283,-1.1248283914142472,0.0056677352332354936
2023-01-05,-0.011284563863334207,469.9463339501186,473.4879291759382,0.11084445007816,8.860325929748752,2.221239058610754,1.8816954485754525,2.1926123777326563,-0.028626680878097943
2023-01-06,0.022826717275554964,486.15976698824403,489.82354939352155,0.13277452547801513,3.867145665263917,-2.771941205874081,-3.8063438271542864,-2.5341252531023164,0.23781595277176448
2023-01-09,-0.00041232862591489283,475.1140160808164,478.69455583506493,0.11729473978550077,6.708013573064085,0.0689267019260873,0.06875559464220368,0.06917070329454435,0.00024400136845705023
2023-01-10,0.00706404042487363,478.6676090543467,482.27492928755714,0.12211467363818801,5.578957187868894,-1.0601296832691043,-1.1779252505475555,-1.0560876986694965,0.004041984599607806
2023-01-11,0.012467359582202686,481.23586068301677,484.8625356958046,0.12571594218148535,4.903385755483763,-1.7357011156542352,-2.0789260502844846,-1.6994155614923785,0.03628555416185675
2023-01-12,0.0036410528711219303,477.040628840173,480.6356878747257,0.11987955798471359,6.065311817202304,-0.5737750539356936,-0.607143767237138,-0.5747748044882033,-0.0009997505525096706
2023-01-13,0.00387977729070621,477.1540969440456,480.7500110934613,0.12003402698059341,6.029789910292665,-0.6092969608453327,-0.6469509462505091,-0.6101983176759489,-0.0009013568306162068
2023-01-17,-0.0017567194519036988,474.47501367731564,478.05073780114424,0.11645521380535756,6.938631023812791,0.29954415267479284,0.29293210062036956,0.3004670377440851,0.0009228850692922785
2023-01-18,-0.015687457575986108,467.85359453955806,471.3794185264725,0.10851255057110454,9.942606201165614,3.3035193300276156,2.6158757997167004,3.2167449967897075,-0.08677433323790806
2023-01-19,-0.007457921487497687,471.76517533777746,475.32047766057747,0.11301717888431909,8.024090973692216,1.385004102554218,1.243604723125835,1.3794080553284966,-0.005596047225721268
2023-01-20,0.0187077018090116,484.2019577468413,487.8509857698383,0.1299513060061502,4.243234900526953,-2.3958519706110453,-3.119500033289085,-2.264992904986242,0.13085906562480343
2023-01-23,0.011998585429928266,481.0130476406992,484.63804349663457,0.125400632062007,4.957902040890278,-1.6811848302477204,-2.000758192011226,-1.6492504391297715,0.031934391117948824
2023-01-24,-0.000998427476724073,474.83543743603826,478.4138777744023,0.11692754878576865,6.807435447170194,0.1683485760321961,0.16648728842670085,0.168921217177327,0.0005726411451308921
2023-01-25,0.00022487069934773452,475.416883292107,478.9997055049941,0.11769595663361182,6.601846584899515,-0.0372402862384833,-0.037497078008976746,-0.03737361394923317,-0.0001333277107498712
2023-01-26,0.011016187050359783,480.5461038669065,484.1675807554183,0.12474143866066362,5.0745695441177325,-1.5645173270202655,-1.8369437476153418,-1.540639815298907,0.023877511721358546
2023-01-27,0.0023472438415734764,476.4256684703383,480.01609305931174,0.11904646258552821,6.262213733563306,-0.3768731375746919,-0.3914017508232276,-0.3779496154598815,-0.0010764778851896084
2023-01-30,-0.012571484914218112,469.334647505423,472.87163295851803,0.11014279788449248,9.162842006917655,2.5237551357796573,2.0962888979503504,2.4821650768766097,-0.041590058903047566
2023-01-31,0.014628788257027292,482.26320934644764,485.8976266328927,0.12717554085716593,4.661308661190596,-1.9777782099474024,-2.4393432138625006,-1.9168369275614507,0.060941282385951645
2023-02-01,0.010555063478004278,480.3269272217302,483.9467523578948,0.12443280579427338,5.13048401620298,-1.5086028549350177,-1.7600516197634677,-1.4880343287500941,0.020568526184923552
2023-02-02,0.014315973997516496,482.1145256007596,485.7478223812961,0.12696375039766103,4.695421641748282,-1.9436652293897163,-2.3871815906487357,-1.886782382213926,0.056882847175790285
2023-02-03,-0.010201387388684813,470.4611785602842,474.00665374234916,0.11144684004971282,8.614191495586565,1.9751046244485675,1.7010763066186874,1.9551696524165407,-0.019934972032026765
2023-02-06,-0.005868658453778264,472.5205679503347,476.08156303989756,0.11395362208811334,7.70312451719881,1.0640376460608119,0.9785958974984692,1.0626874716417694,-0.0013501744190425047
2023-02-07,0.01287993364882678,481.4319612626239,485.0601141226175,0.12599383722907198,4.856010280549368,-1.7830765905886299,-2.147722572043676,-1.742678702169398,0.040397888419231975
2023-02-08,-0.010837628245267572,470.1587669187419,473.70196307541914,0.1110917310546494,8.757839706509667,2.1187528353716694,1.8071691550910542,2.0939454910129953,-0.024807344358674044
2023-02-09,-0.008789442929489688,471.13228988118425,474.68282267191296,0.11224735782619712,8.304649816914715,1.665562945776717,1.4656352656812177,1.6542595102186721,-0.011303435558044805
2023-02-10,0.0022843948809903036,476.3957957308835,479.9859951938291,0.11900617491004746,6.2719701752413854,-0.36711669589661255,-0.380921717699279,-0.3681803171481621,-0.001063621251549518
2023-02-13,0.011690030389177597,480.86638834428,484.49027895089966,0.12519335300469175,4.99418967520066,-1.6448971959373377,-1.9493067914212467,-1.6156452955275407,0.029251900409797083
2023-02-14,-0.0003149148518688527,475.1603178217582,478.7412065137744,0.11735594317252926,6.691654098279459,0.052567227141461004,0.0525118959515879,0.0527540329187603,0.00018680577729929954
2023-02-15,0.0031743723950761193,476.81881094310364,480.41219832038723,0.11957825259728708,6.135475215020354,-0.503611656117644,-0.5293250284405285,-0.5047218871998966,-0.0011102310822526107
2023-02-16,-0.013671827821928106,468.81164351795934,472.3446875243587,0.10955562405695113,9.430419480344938,2.7913326092069397,2.279770534138147,2.7361519727672783,-0.055180636439661424
2023-02-17,-0.002620429554526904,474.0644836284378,477.6371139282356,0.11592113743191262,7.091664535658058,0.4525776645200601,0.43695533347879073,0.45372096010816615,0.0011432955881060525
2023-02-21,-0.02001178608260079,465.798197957079,469.3085321269701,0.10643202479233968,11.142624949465445,4.503538078327447,3.336955441569846,4.31474752303466,-0.18879055529278688
2023-02-22,-0.0014782891934554954,474.6073543634587,478.18407582912903,0.11662828020653607,6.890119024538898,0.25103215340090035,0.2465039925948493,0.25183971978558917,0.0008075663846888181
2023-02-23,0.005369868513499965,477.86235220315166,481.4636038842451,0.12100316670354337,5.813591286312349,-0.8254955848256493,-0.8954229214061941,-0.8250181462879916,0.00047743853765769284
2023-02-24,-0.010482703539160476,470.32746618080165,473.8719336837113,0.11128938542873745,8.677382551753608,2.03829568061561,1.7479856357138719,2.0162860971830714,-0.02200958343253845
2023-02-27,0.0031276799677142364,476.79661756545426,480.3898376896822,0.11954815551453417,6.142548185914447,-0.49653868522355094,-0.52153908924838,-0.497654409128467,-0.001115723904916044
2023-02-28,-0.003495096806638176,473.6487455368368,477.2182427639111,0.11538475077881861,7.25063946814609,0.6115525970080924,0.5828056656004784,0.6126315431665033,0.001078946158410865
2023-03-01,-0.003911079710327781,473.4510247028841,477.0190318722412,0.11513129220982711,7.327687619776881,0.6886007486388834,0.6521706092560531,0.6895186777598021,0.0009179291209187035
2023-03-02,0.007498226770696226,478.8739821663796,482.48285766234136,0.122401052752616,5.520668850389822,-1.1184180207481758,-1.2503256091845851,-1.1130504507097692,0.005367570038406599
2023-03-03,0.0161168661369806,482.9705076435682,486.6102552498633,0.12818532774373978,4.503140854329075,-2.135946016808923,-2.687479465094326,-2.0532651947550296,0.08268082205389327
