convention,fractional_rank,var,difference_vs_ours
"(N-1)*alpha  [R type 7, NumPy default, OURS]",2.490000000000002,2.448845179215953,0.0
N*alpha,2.500000000000002,2.448575074330904,-0.0002701048850490828
"(N+1)*alpha - 1  [R type 6, Weibull]",1.5100000000000025,2.4843873007082817,0.035542121492328604
