strike,option_type,moneyness,market_iv,reimplied_iv,sabr_iv,market_bid,market_ask,market_mid,baw_price,absolute_diff,percent_diff,half_spreads,vega,vol_error_vol_points,predicted_price_error
479.0,call,0.00022548565009983257,0.1167,0.11357958478310382,0.11249945119676126,7.83,7.85,7.84,7.764945315604024,-0.07505468439597607,-0.009573301581119397,-7.505468439597767,0.6948661554218916,-0.10801335863425549,-0.07505482724839109
480.0,call,0.002313639064818407,0.11781,0.11575489775438043,0.11132628454806748,7.5,7.53,7.515000000000001,7.207421345942862,-0.3075786540571386,-0.040928629947723026,-20.505243603809067,0.6944890689226213,-0.4428613206312951,-0.30756234622707057
481.0,call,0.004401792479536759,0.11366,0.11137566286735696,0.11019538912685226,6.74,6.77,6.755,6.673293699959288,-0.08170630004071189,-0.012095677282118711,-5.447086669380909,0.6922237844278811,-0.11802737405047087,-0.08170135553130203
482.0,call,0.006489945894255111,0.11248,0.11044350380472458,0.10910996554483567,6.24,6.27,6.255,6.163239422516057,-0.09176057748394317,-0.01466995643228508,-6.117371832263008,0.6879914848639146,-0.13335382598889112,-0.09174629675438128
483.0,call,0.008578099308973464,0.11481,0.11228183381993419,0.10807325352845491,5.95,5.98,5.965,5.677837445934244,-0.2871625540657554,-0.048141249633823206,-19.144170271050204,0.6817368569741689,-0.42085802914792747,-0.28691443002365125
484.0,call,0.010666252723691816,0.11302,0.11142502483223689,0.10708848521198658,5.5,5.52,5.51,5.217549838195595,-0.2924501618044051,-0.053076254410962816,-29.24501618044113,0.6734322283136862,-0.433653962025031,-0.29203655396357525
485.0,call,0.012754406138410168,0.11284,0.11123336791244101,0.10615883086172165,5.11,5.13,5.12,4.78270391973399,-0.3372960802660101,-0.06587814067695509,-33.72960802660173,0.6630811604779296,-0.5074537050719363,-0.3364829916479246
486.0,call,0.01484255955312852,0.10891,0.1068458561303583,0.10528733816976445,4.46,4.49,4.475,4.3734762417869035,-0.10152375821309612,-0.02268687334370863,-6.768250547539685,0.6507211842361471,-0.15585179605938498,-0.10141606529709349
487.0,call,0.016930712967846873,0.10739,0.10604780070583203,0.10447686697452234,4.08,4.1,4.09,3.989879484072361,-0.10012051592763882,-0.024479343747588953,-10.012051592764095,0.6364253712760615,-0.157093373130969,-0.0999782083198858
488.0,call,0.019018866382565225,0.10664,0.10531095801366287,0.10373002197623478,3.72,3.74,3.7300000000000004,3.631753304851742,-0.09824669514825857,-0.02633959655449291,-9.824669514825848,0.6203024829545711,-0.15809360374280934,-0.09806585494090071
489.0,call,0.021107019797283577,0.10888,0.10694830346965102,0.10304908662343282,3.52,3.55,3.535,3.298760043633507,-0.23623995636649298,-0.06682884197071937,-15.749330424432967,0.6024955212637906,-0.38992168462182036,-0.23492606862827903
490.0,call,0.02319517321200193,0.10809,0.10702230469729199,0.10243596174389484,3.25,3.27,3.26,2.9903859306126037,-0.26961406938739607,-0.08270370226607242,-26.961406938739582,0.5831786267194161,-0.4586342953397146,-0.2674657185226419
491.0,call,0.02528332662672028,0.10442,0.10338142383755644,0.10189211258545317,2.78,2.8,2.79,2.705948110212887,-0.08405188978711298,-0.03012612537172508,-8.40518897871129,0.5625524107969682,-0.1489311252103276,-0.08378156352977491
492.0,call,0.027371480041438856,0.1074,0.10554317409081018,0.10141852765502643,2.66,2.68,2.67,2.4446073710711147,-0.22539262892888523,-0.08441671495463866,-22.5392628928885,0.5408379581098188,-0.4124646435783752,-0.22307653562542265
493.0,call,0.029459633456157208,0.10328,0.10206613492466758,0.10101569208873602,2.25,2.27,2.26,2.2053860399858536,-0.0546139600141462,-0.024165469032808057,-5.461396001414616,0.5182698648255268,-0.10504428359315587,-0.0544412866585192
494.0,call,0.03154778687087556,0.10489,0.10403453833661114,0.10068357730577678,2.14,2.17,2.1550000000000002,1.987190099592027,-0.16780990040797317,-0.07787002339117083,-11.18732669386495,0.4950887733741638,-0.33509610308343624,-0.16590231863804078
495.0,call,0.03363594028559391,0.10204,0.10118628808829563,0.10042164750709028,1.82,1.83,1.8250000000000002,1.7888342829643307,-0.03616571703566951,-0.019816831252421646,-7.233143407133896,0.47153390459300226,-0.07646405812053586,-0.03605539588660254
