as_of,window_start,window_end,annualised_vol,skewness,excess_kurtosis,worst_day,first_percentile
2011-12-30,2010-12-27,2011-12-30,0.2308209741180013,-0.4330618333118633,2.5814471143617297,-0.0651178282954451,-0.043359359730074945
2015-12-31,2015-01-06,2015-12-31,0.15646878581294651,-0.23076572182416868,2.1172912544438542,-0.041287188828172394,-0.02778521598098748
2018-12-31,2018-01-04,2018-12-31,0.17183109230673166,-0.4092295060091597,3.14836240677624,-0.042065911730545746,-0.03213651183379434
2020-12-31,2020-01-02,2020-12-31,0.3414342405127746,-0.5984670402325664,7.630987861724819,-0.11511773824462979,-0.06756809393558597
2022-12-30,2022-01-11,2022-12-30,0.24085994513661843,0.0262850213875369,0.36159095217364623,-0.04336399474375818,-0.037377817011971876
2023-12-29,2023-01-03,2023-12-29,0.13139559007155754,-0.027793614581047062,-0.17835513638937872,-0.02001178608260079,-0.016410412700800108
