strike,option_type,moneyness,market_iv,reimplied_iv,sabr_iv,market_bid,market_ask,market_mid,baw_price,absolute_diff,percent_diff,half_spreads,vega,vol_error_vol_points,predicted_price_error
418.0,put,-0.12715187264772077,0.20744,0.20833045486174068,0.2063714140094826,0.52,0.53,0.525,0.4989717538906733,-0.026028246109326747,-0.049577611636812846,-5.205649221865345,0.13088330108528834,-0.1959040852258065,-0.025640573370447218
419.0,put,-0.1250637192330024,0.2043,0.20600294740374472,0.20477009561943194,0.53,0.54,0.535,0.5181670903367737,-0.01683290966322637,-0.03146338254808667,-3.366581932645271,0.13526528521075054,-0.12328517843127884,-0.016676204822765203
420.0,put,-0.12297556581828395,0.20253,0.20435934125519847,0.20316887898016303,0.55,0.56,0.555,0.5382082089169525,-0.016791791083047514,-0.030255479428914437,-3.3583582166094996,0.13980010989763647,-0.11904622750354421,-0.016642675687894515
421.0,put,-0.1208874124035656,0.20168,0.20265672273134028,0.20156775141539693,0.57,0.58,0.575,0.5591378349393564,-0.01586216506064353,-0.02758637401851049,-3.172433012128703,0.14449299267131344,-0.1088971315943349,-0.015734872437387287
422.0,put,-0.11879925898884724,0.19912,0.20089767186293075,0.19996670192856508,0.59,0.6,0.595,0.581001151721206,-0.01399884827879394,-0.023527476098813345,-2.7997696557587854,0.14934928676393344,-0.09309699343656719,-0.013903969569617902
423.0,put,-0.11671110557412889,0.19798,0.19908451758612095,0.1983657213581884,0.61,0.62,0.615,0.6038459596532748,-0.01115404034672518,-0.018136650970284846,-2.2308080693450343,0.1543744782864065,-0.07187962279325555,-0.011096379268132518
424.0,put,-0.11462295215941054,0.19637,0.19721936560353104,0.1967648025474328,0.63,0.64,0.635,0.6277228466479514,-0.007277153352048593,-0.011460084018974163,-1.4554306704097173,0.15957418229959885,-0.045456305609822834,-0.007253652798048147
425.0,put,-0.11253479874469208,0.19424,0.1953041220557219,0.19516394052919797,0.65,0.66,0.655,0.6526853708517638,-0.0023146291482362136,-0.003533784959139257,-0.4629258296472423,0.16495413765116873,-0.01401815265239248,-0.0023123522822378452
426.0,put,-0.11044664532997372,0.19166,0.1933405137165696,0.1935631327282386,0.67,0.68,0.675,0.678790256575075,0.003790256575074924,0.005615194926036924,0.7580513150149841,0.17052020037188195,0.022261901166900633,0.0037961038476389286
427.0,put,-0.10835849191525537,0.1905,0.19133010527890063,0.19196237918196798,0.69,0.7,0.695,0.7060976044671391,0.011097604467139144,0.015967776211711,2.219520893427827,0.1762783354557429,0.06322739030673596,0.011145619118481989
428.0,put,-0.10627033850053702,0.18911,0.19010491654597553,0.1903616827817715,0.72,0.74,0.73,0.7346711170496903,0.004671117049690365,0.006398790479027898,0.46711170496903615,0.1822346067794911,0.025676623579598545,0.004679169401453151
429.0,put,-0.10418218508581867,0.18688,0.18825091647161282,0.18876104953684272,0.75,0.76,0.755,0.7645783408097827,0.009578340809782704,0.012686544118917488,1.915668161956539,0.1883951649327642,0.051013306522990076,0.00961066029616437
430.0,put,-0.10209403167110032,0.18496,0.18608030987745833,0.18716048886277012,0.77,0.78,0.775,0.7958909261499877,0.020890926149987665,0.026956033741919568,4.1781852299975295,0.1947662326496846,0.10801789853117916,0.021038239155653664
431.0,put,-0.10000587825638185,0.18353,0.18437478690823564,0.1855600138973379,0.8,0.81,0.805,0.8286849065970633,0.023684906597063238,0.02942224421995433,4.736981319412643,0.20135408755655448,0.1185226989102256,0.02386502989380871
432.0,put,-0.0979177248416635,0.18161,0.18308822892269483,0.18395964184626074,0.84,0.85,0.845,0.8630409987809978,0.018040998780997852,0.021350294415382075,3.6081997561995673,0.20816504185351967,0.08714129235659063,0.01813977077057948
433.0,put,-0.09582957142694515,0.18017,0.1812343326160547,0.18235939436187099,0.87,0.88,0.875,0.8990449248145785,0.02404492481457854,0.027479914073804044,4.808984962915703,0.21520541856401287,0.11250617458162804,0.024211938391875167
434.0,put,-0.0937414180122268,0.17855,0.17954641166329824,0.18075929795809015,0.9,0.92,0.91,0.9367877588308372,0.02678775883083717,0.029437097616304583,2.678775883083715,0.2224815238847322,0.12128862947919095,0.026984479116421052
435.0,put,-0.09165326459750844,0.17687,0.17778449883467123,0.17915938446538007,0.94,0.95,0.945,0.9763662995694392,0.03136629956943926,0.03319185139623202,6.273259913887847,0.22999961517848888,0.13748856307088386,0.03162231659774668
436.0,put,-0.08956511118279009,0.17495,0.17637893156296083,0.17755969152976445,0.98,1.0,0.99,1.0178834710459934,0.027883471045993424,0.028165122268680228,2.7883471045993398,0.23776586402577404,0.11807599668036128,0.02807444137141053
437.0,put,-0.08747695776807163,0.17303,0.17467138772186666,0.17596026316045266,1.02,1.04,1.03,1.0614487534892365,0.03144875348923648,0.030532770377899494,3.1448753489236454,0.2457863137524385,0.12888754385859957,0.03167879429361093
438.0,put,-0.08538880435335328,0.17099,0.17268554513397283,0.1743611503310865,1.06,1.07,1.065,1.1071786468874678,0.04217864688746786,0.039604363274617714,8.435729377493566,0.25406683075880343,0.16756051971136832,0.04257157020336536
439.0,put,-0.08330065093863492,0.16944,0.17121894642306382,0.17276241164017214,1.11,1.12,1.1150000000000002,1.1551971696514314,0.040197169651431164,0.0360512732299831,8.039433930286226,0.262613048873539,0.15434652171083252,0.040533410649507606
440.0,put,-0.08121249752391657,0.16859,0.16965506148550832,0.17116411403686024,1.16,1.17,1.165,1.2056363950706168,0.04063639507061678,0.03488102581168823,8.12727901412335,0.27143030593823614,0.15090525513519193,0.04096025956903272
441.0,put,-0.07912434410919822,0.16628,0.16763525235948415,0.1695663336189002,1.2,1.21,1.205,1.2586370284131911,0.05363702841319107,0.04451205677443242,10.727405682638205,0.28052357167156483,0.19310812594160454,0.054171381207941266
442.0,put,-0.07703619069447987,0.16469,0.1659006443241006,0.16796915651032815,1.25,1.26,1.255,1.3143490276968444,0.05934902769684447,0.047290061909836235,11.869805539368883,0.28989736580569136,0.20685121862275557,0.05996562339243401
443.0,put,-0.0749480372797614,0.16344,0.16476002262783676,0.16637267982725257,1.32,1.33,1.3250000000000002,1.37293227133115,0.047932271331149856,0.03617529911784894,9.586454266229962,0.2995556654085796,0.16126571994158068,0.04830806004469384
444.0,put,-0.07285988386504305,0.16171,0.1626703673430556,0.1647770127409927,1.36,1.38,1.37,1.434557276002701,0.06455727600270089,0.04712209927204444,6.455727600270155,0.3095018000915162,0.2106645397937118,0.06520105428160465
445.0,put,-0.0707717304503247,0.15935,0.16114917676554,0.1631822776487956,1.43,1.44,1.435,1.4994059683315175,0.06440596833151746,0.044882207896527845,12.881193666303481,0.31973833386754746,0.20331008832555897,0.06500602889967813
446.0,put,-0.06868357703560635,0.15825,0.1599824491764737,0.16158861146341946,1.51,1.52,1.5150000000000001,1.5676725139703676,0.05267251397036743,0.03476733595403791,10.534502794073477,0.3302669320877416,0.1606162286945767,0.05304622909446094
447.0,put,-0.066595423620888,0.15648,0.15808783538950574,0.15999616703402944,1.57,1.58,1.5750000000000002,1.6395642079333446,0.06456420793334439,0.040993147894186906,12.912841586668867,0.341088211874252,0.19083316445236975,0.06509094282936387
448.0,put,-0.06450727020616953,0.15504,0.156824723128925,0.15840511471209784,1.65,1.67,1.66,1.7153024300197832,0.0553024300197833,0.03331471687938753,5.530243001978325,0.3522015744639506,0.158039158317283,0.055661640386304626
449.0,put,-0.06241911679145118,0.15345,0.15487221670437895,0.15681564407734722,1.72,1.73,1.725,1.7951236692284,0.07012366922839997,0.040651402451246356,14.02473384567998,0.36360501738511575,0.1943427372968265,0.07066399437348359
450.0,put,-0.06033096337673283,0.15191,0.1532336762991107,0.15522796584020132,1.8,1.81,1.8050000000000002,1.8792806210156587,0.07428062101565858,0.041152698623633556,14.856124203131703,0.37529492466724657,0.1994289541090627,0.07484467430882846
451.0,put,-0.058242809962014475,0.15007,0.1516121485687461,0.15364231393871772,1.88,1.9,1.89,1.9680433611269075,0.07804336112690757,0.04129278366503046,7.80433611269075,0.3872658328693878,0.20301653699716093,0.07862136828646442
452.0,put,-0.05615465654729612,0.14917,0.14999924275137685,0.15205894784954055,1.97,1.99,1.98,2.06170059948343,0.08170059948343011,0.04126292903203541,8.170059948343004,0.3995101707969795,0.20597050981636944,0.08228731355587869
453.0,put,-0.05406650313257777,0.14702,0.1485100994923712,0.1504781551340078,2.07,2.09,2.08,2.160561017216041,0.08056101721604092,0.03873125827694275,8.056101721604085,0.4120179705562998,0.19680556416366013,0.08108742914089889
454.0,put,-0.05197834971785931,0.14564,0.14700673996193275,0.14890025424213285,2.18,2.19,2.185,2.264954689360887,0.0799546893608869,0.03659253517660727,15.990937872177721,0.42477654758374944,0.18935142802000982,0.08043204587439261
455.0,put,-0.049890196303140955,0.14357,0.14513589008178754,0.14732559759869218,2.27,2.29,2.2800000000000002,2.3752345949131173,0.09523459491311703,0.04176955917241975,9.523459491311694,0.43777014738408665,0.21897075169046432,0.09585885824033881
456.0,put,-0.0478020428884226,0.14241,0.14404389997992614,0.14575457499702357,2.41,2.42,2.415,2.4917782148310863,0.07677821483108627,0.031792221462147524,15.35564296621758,0.45097955653072835,0.17106750170974294,0.07714794605787949
457.0,put,-0.04571388947370425,0.14047,0.14213095256584488,0.14418761732723487,2.51,2.53,2.5199999999999996,2.614989217110643,0.09498921711064323,0.03769413377406478,9.498921711064314,0.4643816758597596,0.20566647613899924,0.09550774285759972
458.0,put,-0.0436257360589859,0.1397,0.1406213551102263,0.14262520066622353,2.64,2.66,2.6500000000000004,2.7452992261362374,0.09529922613623709,0.035961972126881916,9.5299226136237,0.4779490538412645,0.20038455559972246,0.09577360875328961
459.0,put,-0.041537582644267546,0.13816,0.13926704209110005,0.1410678507570008,2.79,2.8,2.795,2.8831696710595085,0.08816967105950857,0.031545499484618454,17.63393421190209,0.49164937856387425,0.18008086659007383,0.08853664615025374
460.0,put,-0.03944942922954908,0.13646,0.13794606009771146,0.13951614790404893,2.94,2.96,2.95,3.029093704849169,0.07909370484916867,0.026811425372599545,7.90937048491686,0.5054449271539196,0.15700878063374668,0.07935929168994985
461.0,put,-0.03736127581483073,0.13488,0.13577365300241276,0.13797073230949974,3.06,3.08,3.0700000000000003,3.1835981817715777,0.11359818177157743,0.037002665072175055,11.359818177157733,0.5192919723940648,0.21970793070869854,0.11409256468833857
462.0,put,-0.03527312240011238,0.13401,0.1349796345809678,0.13643230987138244,3.26,3.28,3.2699999999999996,3.3472456762532854,0.07724567625328582,0.023622530964307595,7.724567625328575,0.5331401469517827,0.14526752904146512,0.07744795178048908
463.0,put,-0.033184968985394026,0.13209,0.1330560591554818,0.13490165845954066,3.41,3.43,3.42,3.5206365201932486,0.10063652019324865,0.029425883097441125,10.063652019324856,0.5469317670868223,0.18455993040588647,0.10094168887031243
464.0,put,-0.031096815570675673,0.1305,0.1314223055086435,0.13337963467641417,3.58,3.61,3.5949999999999998,3.7044108286698894,0.1094108286698896,0.030434166528481115,7.294055244659354,0.5606011190631532,0.1957329167770666,0.10972809218271859
465.0,put,-0.02900866215595732,0.12876,0.129696597200077,0.13186718109794218,3.76,3.79,3.775,3.8992504754564483,0.1242504754564484,0.032914033233496266,8.283365030429826,0.5740737134933394,0.21705838978651748,0.12460751586963081
466.0,put,-0.026920508741238858,0.12664,0.12821644601614376,0.13036533397343952,3.97,3.99,3.9800000000000004,4.105880969671703,0.12588096967170248,0.031628384339623734,12.588096967170237,0.5872655150877648,0.21488879572957587,0.12619677931071885
467.0,put,-0.024832355326520505,0.12519,0.1267865414485014,0.12887523134133713,4.19,4.21,4.2,4.32507317312406,0.12507317312405952,0.029779326934299886,12.507317312406219,0.6000821578950877,0.20886898928357267,0.12533855380665224
468.0,put,-0.022744201911802153,0.12537,0.12621070790126873,0.12739812148892493,4.47,4.5,4.484999999999999,4.557644784399267,0.07264478439926769,0.0161972763432035,4.842985626617806,0.6124181592853883,0.11874135876561998,0.0727193643662869
469.0,put,-0.0206560484970838,0.12321,0.12474133948762907,0.1259353716473497,4.72,4.74,4.73,4.80446150052166,0.07446150052166,0.01574238911663002,7.446150052165828,0.6241561493545156,0.11940321597206233,0.07452625150166801
470.0,put,-0.01856789508236545,0.1216,0.12265325894148986,0.12448847676672814,4.93,4.97,4.949999999999999,5.066437750280791,0.11643775028079162,0.02352277783450336,5.821887514039576,0.6351661361382099,0.18352178252382806,0.11656682150285673
471.0,put,-0.016479741667647096,0.12075,0.12182578435334505,0.12305906815903284,5.25,5.28,5.265000000000001,5.344536875448787,0.0795368754487864,0.015106718983625146,5.302458363252383,0.6453048307068165,0.1233283805687782,0.07958439974428126
472.0,put,-0.014391588252928633,0.11787,0.11974093155876946,0.12164892172742826,5.5,5.53,5.515000000000001,5.639770617809747,0.1247706178097463,0.022623865423344748,8.318041187316352,0.6544150601728748,0.19079901686588074,0.1248617501032107
473.0,put,-0.012303434838210281,0.11747,0.11922998415290027,0.12025996541955855,5.87,5.9,5.885,5.953197752267409,0.06819775226740887,0.011588403104062681,4.546516817827221,0.6623252995029638,0.1029981266658278,0.0682182650921886
474.0,put,-0.010215281423491929,0.1156,0.11723527569422537,0.1188942854495483,6.16,6.19,6.175000000000001,6.285921690830403,0.11092169083040204,0.017963026855125835,7.394779388693408,0.6688493554933395,0.16590097553229322,0.11096276056049059
