strike,option_type,moneyness,vendor_iv,reimplied_iv,sabr_iv,residual_vol_points,mid
408.0,put,-0.1480334067949044,0.22622,0.22740701222333465,0.222393931106979,-0.501308111635565,0.395
409.0,put,-0.14594525338018605,0.22435,0.22540125273008493,0.22079061669494213,-0.46106360351428066,0.405
410.0,put,-0.1438570999654677,0.2218,0.2233647994539456,0.21918759697265675,-0.4177202481288861,0.415
411.0,put,-0.14176894655074934,0.21945,0.221298588964907,0.21758484864577668,-0.37137403191303264,0.425
412.0,put,-0.139680793136031,0.21778,0.21920348868489406,0.21598234910293987,-0.3221139581954191,0.435
413.0,put,-0.13759263972131264,0.21532,0.21708030189168517,0.21438007648158022,-0.27002254101049505,0.445
414.0,put,-0.13550448630659417,0.21394,0.21576619279529247,0.21277800973959168,-0.29881830557007827,0.46499999999999997
415.0,put,-0.13341633289187582,0.21224,0.2135697855579624,0.2111761287333689,-0.23936568245934986,0.475
416.0,put,-0.13132817947715747,0.2112,0.21213687978792267,0.20957441430280327,-0.2562465485119403,0.495
417.0,put,-0.12924002606243912,0.20827,0.20987267911301732,0.20797284836386765,-0.1899830749149678,0.505
418.0,put,-0.12715187264772077,0.20744,0.20833045486174068,0.2063714140094826,-0.1959040852258065,0.525
419.0,put,-0.1250637192330024,0.2043,0.20600294740374472,0.20477009561943194,-0.12328517843127884,0.535
420.0,put,-0.12297556581828395,0.20253,0.20435934125519847,0.20316887898016303,-0.11904622750354421,0.555
421.0,put,-0.1208874124035656,0.20168,0.20265672273134028,0.20156775141539693,-0.1088971315943349,0.575
422.0,put,-0.11879925898884724,0.19912,0.20089767186293075,0.19996670192856508,-0.09309699343656719,0.595
423.0,put,-0.11671110557412889,0.19798,0.19908451758612095,0.1983657213581884,-0.07187962279325555,0.615
424.0,put,-0.11462295215941054,0.19637,0.19721936560353104,0.1967648025474328,-0.045456305609822834,0.635
425.0,put,-0.11253479874469208,0.19424,0.1953041220557219,0.19516394052919797,-0.01401815265239248,0.655
426.0,put,-0.11044664532997372,0.19166,0.1933405137165696,0.1935631327282386,0.022261901166900633,0.675
427.0,put,-0.10835849191525537,0.1905,0.19133010527890063,0.19196237918196798,0.06322739030673596,0.695
428.0,put,-0.10627033850053702,0.18911,0.19010491654597553,0.1903616827817715,0.025676623579598545,0.73
429.0,put,-0.10418218508581867,0.18688,0.18825091647161282,0.18876104953684272,0.051013306522990076,0.755
430.0,put,-0.10209403167110032,0.18496,0.18608030987745833,0.18716048886277012,0.10801789853117916,0.775
431.0,put,-0.10000587825638185,0.18353,0.18437478690823564,0.1855600138973379,0.1185226989102256,0.805
432.0,put,-0.0979177248416635,0.18161,0.18308822892269483,0.18395964184626074,0.08714129235659063,0.845
433.0,put,-0.09582957142694515,0.18017,0.1812343326160547,0.18235939436187099,0.11250617458162804,0.875
434.0,put,-0.0937414180122268,0.17855,0.17954641166329824,0.18075929795809015,0.12128862947919095,0.91
435.0,put,-0.09165326459750844,0.17687,0.17778449883467123,0.17915938446538007,0.13748856307088386,0.945
436.0,put,-0.08956511118279009,0.17495,0.17637893156296083,0.17755969152976445,0.11807599668036128,0.99
437.0,put,-0.08747695776807163,0.17303,0.17467138772186666,0.17596026316045266,0.12888754385859957,1.03
438.0,put,-0.08538880435335328,0.17099,0.17268554513397283,0.1743611503310865,0.16756051971136832,1.065
439.0,put,-0.08330065093863492,0.16944,0.17121894642306382,0.17276241164017214,0.15434652171083252,1.1150000000000002
440.0,put,-0.08121249752391657,0.16859,0.16965506148550832,0.17116411403686024,0.15090525513519193,1.165
