historical_date,historical_return,scenario_spot,scenario_forward,scenario_volatility,scenario_option_price,scenario_pnl
2020-01-02,0.009351892127011707,479.7550478468899,483.3705632031555,0.12363003795806211,5.27994150626786,-1.3591453648701384
2020-01-03,-0.007510696586326859,471.740090805553,475.29520408706645,0.11298640371523994,8.035006006885546,1.3959191357475476
2020-01-06,0.003876810470489822,477.15268678472853,480.7485903069446,0.12003210587895019,6.030229846607429,-0.6088570245305691
2020-01-07,-0.0029041028175975647,473.9296508897677,477.50126506719346,0.11574667277839601,7.1427776760413835,0.5036908049033855
2020-01-08,0.005112474437627634,477.7400102249488,481.34033991615826,0.12083516869193288,5.850266419538557,-0.7888204515994408
2020-01-09,0.006781959986436048,478.5335334011529,482.1398432175158,0.12192894141194179,5.617223078336525,-1.021863792801473
2020-01-10,-0.0029088459536421585,473.9273964297744,477.49899361720753,0.11574375971561363,7.143635927045744,0.5045490559077459
2020-01-13,0.007001596855423342,478.63792900135127,482.2450255606517,0.12207353640460517,5.587400918337676,-1.0516859528003222
2020-01-14,-0.0015247621371066167,474.58526530861184,478.1618203074209,0.116599363774989,6.898188658192809,0.2591017870548109
2020-01-15,0.0022600940687802495,476.38424531183193,479.9743577288619,0.11899060214896218,6.275747369077155,-0.3633395020608434
2020-01-16,0.00822769380789845,479.2207051438322,482.8321936029196,0.12288349732159137,5.424384528862222,-1.2147023422757757
2020-01-17,0.0034757903645046273,476.9620779181527,480.55654497964315,0.11977275720286422,6.090048641059879,-0.5490382300781187
2020-01-21,-0.0021686093792354644,474.2792382759556,477.8534870031767,0.11619998821513326,7.011126875984985,0.37204000484698696
2020-01-22,0.0001811102055599978,475.39608349180475,478.9787489538713,0.1176683370871355,6.609074400148639,-0.030012470989358775
2020-01-23,0.0013580805794477513,475.9555092802173,479.54239066984474,0.11841442961388969,6.417874284199084,-0.22121258693891388
2020-01-24,-0.009222423146473813,470.92649005424954,474.4754719026006,0.11200009553480016,8.398235671109479,1.7591487999714808
2020-01-27,-0.015909229178073914,467.7481842793697,471.2732138766969,0.10840047829909365,10.000742215301825,3.361655344163827
2020-01-28,0.01041698865568308,480.26129887793275,483.88062942777486,0.12434049284378978,5.1473721905560605,-1.4917146805819375
2020-01-29,-0.0007953989231521685,474.93193893783655,478.5111065278746,0.11705454144373471,6.772801246837229,0.13371437569923117
2020-01-30,0.0030616618700629594,476.7652385034596,480.3582221497578,0.11950561692027775,6.152565147883298,-0.48652172325470033
2020-01-31,-0.017917099078200383,466.7938236371406,470.31166101090935,0.10741153022196931,10.543635352848646,3.9045484817106484
2020-02-03,0.007365967365967396,478.811117948718,482.4195196892803,0.12231375489754129,5.538346254583065,-1.1007406165549334
2020-02-04,0.015241268665926233,482.5543274096014,486.1909386111132,0.12759071594002452,4.595393706903345,-2.0436931642346527
2020-02-05,0.011487266759861336,480.7700127636297,484.3931770675385,0.12505725866913642,5.018212189228598,-1.6208746819093998
2020-02-06,0.003274846773224427,476.8665674197813,480.46031469796753,0.11964304712474372,6.12028814492227,-0.5187987262157279
2020-02-07,-0.005060940915760814,472.9044841733297,476.4683725206206,0.1144364398634842,7.545608699624273,0.9065218284862748
2020-02-10,0.007554779677341639,478.90086232843726,482.5099403978563,0.12243839707572224,5.51313092237663,-1.1259559487613684
2020-02-11,0.0015533980582522755,476.0483456310679,479.63592665117056,0.11853887792638663,6.386778915782693,-0.25230795535530515
2020-02-12,0.006472395382825846,478.38639424941096,481.99159520018713,0.12172541098000149,5.659581396371981,-0.9795054747660172
2020-02-13,-0.0008001422475105713,474.9296843883358,478.5088349877066,0.11705157203912589,6.77360804780353,0.13452117666553232
