historical_date,historical_return,scenario_price
2023-01-03,-0.004235958581738308,473.296606526514
2023-01-04,0.007588887138280542,478.91707394569613
2023-01-05,-0.011284563863334207,469.9463339501186
2023-01-06,0.022826717275554964,486.15976698824403
2023-01-09,-0.00041232862591489283,475.1140160808164
2023-01-10,0.00706404042487363,478.6676090543467
2023-01-11,0.012467359582202686,481.23586068301677
2023-01-12,0.0036410528711219303,477.040628840173
2023-01-13,0.00387977729070621,477.1540969440456
2023-01-17,-0.0017567194519036988,474.47501367731564
2023-01-18,-0.015687457575986108,467.85359453955806
2023-01-19,-0.007457921487497687,471.76517533777746
2023-01-20,0.0187077018090116,484.2019577468413
2023-01-23,0.011998585429928266,481.0130476406992
2023-01-24,-0.000998427476724073,474.83543743603826
2023-01-25,0.00022487069934773452,475.416883292107
2023-01-26,0.011016187050359783,480.5461038669065
2023-01-27,0.0023472438415734764,476.4256684703383
2023-01-30,-0.012571484914218112,469.334647505423
2023-01-31,0.014628788257027292,482.26320934644764
2023-02-01,0.010555063478004278,480.3269272217302
2023-02-02,0.014315973997516496,482.1145256007596
2023-02-03,-0.010201387388684813,470.4611785602842
2023-02-06,-0.005868658453778264,472.5205679503347
2023-02-07,0.01287993364882678,481.4319612626239
2023-02-08,-0.010837628245267572,470.1587669187419
2023-02-09,-0.008789442929489688,471.13228988118425
2023-02-10,0.0022843948809903036,476.3957957308835
2023-02-13,0.011690030389177597,480.86638834428
2023-02-14,-0.0003149148518688527,475.1603178217582
2023-02-15,0.0031743723950761193,476.81881094310364
2023-02-16,-0.013671827821928106,468.81164351795934
2023-02-17,-0.002620429554526904,474.0644836284378
2023-02-21,-0.02001178608260079,465.798197957079
2023-02-22,-0.0014782891934554954,474.6073543634587
2023-02-23,0.005369868513499965,477.86235220315166
2023-02-24,-0.010482703539160476,470.32746618080165
2023-02-27,0.0031276799677142364,476.79661756545426
2023-02-28,-0.003495096806638176,473.6487455368368
2023-03-01,-0.003911079710327781,473.4510247028841
2023-03-02,0.007498226770696226,478.8739821663796
2023-03-03,0.0161168661369806,482.9705076435682
2023-03-06,0.0008660579516492906,475.72164600499843
2023-03-07,-0.015254153481012667,468.0595483089399
2023-03-08,0.0013808340237504435,475.96632421982883
2023-03-09,-0.01812666098380389,466.6942167677882
2023-03-10,-0.014656691264714139,468.34352807496873
2023-03-13,-0.0015548472362589827,474.57096556013374
